VCD info: dumpfile pc.vcd opened for output.

### Test: pc
--------------------------------------------------------------------------------
      TIME     CLK     PC   NEXT_PC EXPECTED
       576    0x00    0x49    0x49    0x48
       580    0x01    0x49    0x49    0x49
       584    0x00    0x4a    0x4a    0x49
       588    0x01    0x4a    0x4a    0x4a
       592    0x00    0x4b    0x4b    0x4a
       596    0x01    0x4b    0x4b    0x4b
       600    0x00    0x4c    0x4c    0x4b
       604    0x01    0x4c    0x4c    0x4c
       608    0x00    0x4d    0x4d    0x4c
       612    0x01    0x4d    0x4d    0x4d
       616    0x00    0x4e    0x4e    0x4d
       620    0x01    0x4e    0x4e    0x4e
       624    0x00    0x4f    0x4f    0x4e
       628    0x01    0x4f    0x4f    0x4f
       632    0x00    0x50    0x50    0x4f
       636    0x01    0x50    0x50    0x50
       640    0x00    0x51    0x51    0x50
       644    0x01    0x51    0x51    0x51
       648    0x00    0x52    0x52    0x51
       652    0x01    0x52    0x52    0x52
       656    0x00    0x53    0x53    0x52
       660    0x01    0x53    0x53    0x53
       664    0x00    0x54    0x54    0x53
       668    0x01    0x54    0x54    0x54
       672    0x00    0x55    0x55    0x54
       676    0x01    0x55    0x55    0x55
       680    0x00    0x56    0x56    0x55
       684    0x01    0x56    0x56    0x56
       688    0x00    0x57    0x57    0x56
       692    0x01    0x57    0x57    0x57
       696    0x00    0x58    0x58    0x57
       700    0x01    0x58    0x58    0x58
       704    0x00    0x59    0x59    0x58
       708    0x01    0x59    0x59    0x59
       712    0x00    0x5a    0x5a    0x59
       716    0x01    0x5a    0x5a    0x5a
       720    0x00    0x5b    0x5b    0x5a
       724    0x01    0x5b    0x5b    0x5b
       728    0x00    0x5c    0x5c    0x5b
       732    0x01    0x5c    0x5c    0x5c
       736    0x00    0x5d    0x5d    0x5c
       740    0x01    0x5d    0x5d    0x5d
       744    0x00    0x5e    0x5e    0x5d
       748    0x01    0x5e    0x5e    0x5e
       752    0x00    0x5f    0x5f    0x5e
       756    0x01    0x5f    0x5f    0x5f
       760    0x00    0x60    0x60    0x5f
       764    0x01    0x60    0x60    0x60
       768    0x00    0x61    0x61    0x60
       772    0x01    0x61    0x61    0x61
       776    0x00    0x62    0x62    0x61
       780    0x01    0x62    0x62    0x62
       784    0x00    0x63    0x63    0x62
       788    0x01    0x63    0x63    0x63
       792    0x00    0x64    0x64    0x63
       796    0x01    0x64    0x64    0x64
       800    0x00    0x65    0x65    0x64
       804    0x01    0x65    0x65    0x65
       808    0x00    0x66    0x66    0x65
       812    0x01    0x66    0x66    0x66
       816    0x00    0x67    0x67    0x66
       820    0x01    0x67    0x67    0x67
       824    0x00    0x68    0x68    0x67
       828    0x01    0x68    0x68    0x68
       832    0x00    0x69    0x69    0x68
       836    0x01    0x69    0x69    0x69
       840    0x00    0x6a    0x6a    0x69
       844    0x01    0x6a    0x6a    0x6a
       848    0x00    0x6b    0x6b    0x6a
       852    0x01    0x6b    0x6b    0x6b
       856    0x00    0x6c    0x6c    0x6b
       860    0x01    0x6c    0x6c    0x6c
       864    0x00    0x6d    0x6d    0x6c
       868    0x01    0x6d    0x6d    0x6d
       872    0x00    0x6e    0x6e    0x6d
       876    0x01    0x6e    0x6e    0x6e
       880    0x00    0x6f    0x6f    0x6e
       884    0x01    0x6f    0x6f    0x6f
       888    0x00    0x70    0x70    0x6f
       892    0x01    0x70    0x70    0x70
       896    0x00    0x71    0x71    0x70
       900    0x01    0x71    0x71    0x71
       904    0x00    0x72    0x72    0x71
       908    0x01    0x72    0x72    0x72
       912    0x00    0x73    0x73    0x72
       916    0x01    0x73    0x73    0x73
       920    0x00    0x74    0x74    0x73
       924    0x01    0x74    0x74    0x74
       928    0x00    0x75    0x75    0x74
       932    0x01    0x75    0x75    0x75
       936    0x00    0x76    0x76    0x75
       940    0x01    0x76    0x76    0x76
       944    0x00    0x77    0x77    0x76
       948    0x01    0x77    0x77    0x77
       952    0x00    0x78    0x78    0x77
       956    0x01    0x78    0x78    0x78
       960    0x00    0x79    0x79    0x78
       964    0x01    0x79    0x79    0x79
       968    0x00    0x7a    0x7a    0x79
       972    0x01    0x7a    0x7a    0x7a
       976    0x00    0x7b    0x7b    0x7a
       980    0x01    0x7b    0x7b    0x7b
       984    0x00    0x7c    0x7c    0x7b
       988    0x01    0x7c    0x7c    0x7c
       992    0x00    0x7d    0x7d    0x7c
       996    0x01    0x7d    0x7d    0x7d
      1000    0x00    0x7e    0x7e    0x7d
      1004    0x01    0x7e    0x7e    0x7e
      1008    0x00    0x7f    0x7f    0x7e
      1012    0x01    0x7f    0x7f    0x7f
      1016    0x00    0x80    0x80    0x7f
      1020    0x01    0x80    0x80    0x80
      1024    0x00    0x81    0x81    0x80
      1028    0x01    0x81    0x81    0x81
      1032    0x00    0x82    0x82    0x81
      1036    0x01    0x82    0x82    0x82
      1040    0x00    0x83    0x83    0x82
      1044    0x01    0x83    0x83    0x83
      1048    0x00    0x84    0x84    0x83
      1052    0x01    0x84    0x84    0x84
      1056    0x00    0x85    0x85    0x84
      1060    0x01    0x85    0x85    0x85
      1064    0x00    0x86    0x86    0x85
      1068    0x01    0x86    0x86    0x86
      1072    0x00    0x87    0x87    0x86
      1076    0x01    0x87    0x87    0x87
      1080    0x00    0x88    0x88    0x87
      1084    0x01    0x88    0x88    0x88
      1088    0x00    0x89    0x89    0x88
      1092    0x01    0x89    0x89    0x89
      1096    0x00    0x8a    0x8a    0x89
      1100    0x01    0x8a    0x8a    0x8a
      1104    0x00    0x8b    0x8b    0x8a
      1108    0x01    0x8b    0x8b    0x8b
      1112    0x00    0x8c    0x8c    0x8b
      1116    0x01    0x8c    0x8c    0x8c
      1120    0x00    0x8d    0x8d    0x8c
      1124    0x01    0x8d    0x8d    0x8d
      1128    0x00    0x8e    0x8e    0x8d
      1132    0x01    0x8e    0x8e    0x8e
      1136    0x00    0x8f    0x8f    0x8e
      1140    0x01    0x8f    0x8f    0x8f
      1144    0x00    0x90    0x90    0x8f
      1148    0x01    0x90    0x90    0x90
      1152    0x00    0x91    0x91    0x90
      1156    0x01    0x91    0x91    0x91
      1160    0x00    0x92    0x92    0x91
      1164    0x01    0x92    0x92    0x92
      1168    0x00    0x93    0x93    0x92
      1172    0x01    0x93    0x93    0x93
      1176    0x00    0x94    0x94    0x93
      1180    0x01    0x94    0x94    0x94
      1184    0x00    0x95    0x95    0x94
      1188    0x01    0x95    0x95    0x95
      1192    0x00    0x96    0x96    0x95
      1196    0x01    0x96    0x96    0x96
      1200    0x00    0x97    0x97    0x96
      1204    0x01    0x97    0x97    0x97
      1208    0x00    0x98    0x98    0x97
      1212    0x01    0x98    0x98    0x98
      1216    0x00    0x99    0x99    0x98
      1220    0x01    0x99    0x99    0x99
      1224    0x00    0x9a    0x9a    0x99
      1228    0x01    0x9a    0x9a    0x9a
      1232    0x00    0x9b    0x9b    0x9a
      1236    0x01    0x9b    0x9b    0x9b
      1240    0x00    0x9c    0x9c    0x9b
      1244    0x01    0x9c    0x9c    0x9c
      1248    0x00    0x9d    0x9d    0x9c
      1252    0x01    0x9d    0x9d    0x9d
      1256    0x00    0x9e    0x9e    0x9d
      1260    0x01    0x9e    0x9e    0x9e
      1264    0x00    0x9f    0x9f    0x9e
      1268    0x01    0x9f    0x9f    0x9f
      1272    0x00    0xa0    0xa0    0x9f
      1276    0x01    0xa0    0xa0    0xa0
      1280    0x00    0xa1    0xa1    0xa0
      1284    0x01    0xa1    0xa1    0xa1
      1288    0x00    0xa2    0xa2    0xa1
      1292    0x01    0xa2    0xa2    0xa2
      1296    0x00    0xa3    0xa3    0xa2
      1300    0x01    0xa3    0xa3    0xa3
      1304    0x00    0xa4    0xa4    0xa3
      1308    0x01    0xa4    0xa4    0xa4
      1312    0x00    0xa5    0xa5    0xa4
      1316    0x01    0xa5    0xa5    0xa5
      1320    0x00    0xa6    0xa6    0xa5
      1324    0x01    0xa6    0xa6    0xa6
      1328    0x00    0xa7    0xa7    0xa6
      1332    0x01    0xa7    0xa7    0xa7
      1336    0x00    0xa8    0xa8    0xa7
      1340    0x01    0xa8    0xa8    0xa8
      1344    0x00    0xa9    0xa9    0xa8
      1348    0x01    0xa9    0xa9    0xa9
      1352    0x00    0xaa    0xaa    0xa9
      1356    0x01    0xaa    0xaa    0xaa
      1360    0x00    0xab    0xab    0xaa
      1364    0x01    0xab    0xab    0xab
      1368    0x00    0xac    0xac    0xab
      1372    0x01    0xac    0xac    0xac
      1376    0x00    0xad    0xad    0xac
      1380    0x01    0xad    0xad    0xad
      1384    0x00    0xae    0xae    0xad
      1388    0x01    0xae    0xae    0xae
      1392    0x00    0xaf    0xaf    0xae
      1396    0x01    0xaf    0xaf    0xaf
      1400    0x00    0xb0    0xb0    0xaf
      1404    0x01    0xb0    0xb0    0xb0
      1408    0x00    0xb1    0xb1    0xb0
      1412    0x01    0xb1    0xb1    0xb1
      1416    0x00    0xb2    0xb2    0xb1
      1420    0x01    0xb2    0xb2    0xb2
      1424    0x00    0xb3    0xb3    0xb2
      1428    0x01    0xb3    0xb3    0xb3
      1432    0x00    0xb4    0xb4    0xb3
      1436    0x01    0xb4    0xb4    0xb4
      1440    0x00    0xb5    0xb5    0xb4
      1444    0x01    0xb5    0xb5    0xb5
      1448    0x00    0xb6    0xb6    0xb5
      1452    0x01    0xb6    0xb6    0xb6
      1456    0x00    0xb7    0xb7    0xb6
      1460    0x01    0xb7    0xb7    0xb7
      1464    0x00    0xb8    0xb8    0xb7
      1468    0x01    0xb8    0xb8    0xb8
      1472    0x00    0xb9    0xb9    0xb8
      1476    0x01    0xb9    0xb9    0xb9
      1480    0x00    0xba    0xba    0xb9
      1484    0x01    0xba    0xba    0xba
      1488    0x00    0xbb    0xbb    0xba
      1492    0x01    0xbb    0xbb    0xbb
      1496    0x00    0xbc    0xbc    0xbb
      1500    0x01    0xbc    0xbc    0xbc
      1504    0x00    0xbd    0xbd    0xbc
      1508    0x01    0xbd    0xbd    0xbd
      1512    0x00    0xbe    0xbe    0xbd
      1516    0x01    0xbe    0xbe    0xbe
      1520    0x00    0xbf    0xbf    0xbe
      1524    0x01    0xbf    0xbf    0xbf
      1528    0x00    0xc0    0xc0    0xbf
      1532    0x01    0xc0    0xc0    0xc0
      1536    0x00    0xc1    0xc1    0xc0
      1540    0x01    0xc1    0xc1    0xc1
      1544    0x00    0xc2    0xc2    0xc1
      1548    0x01    0xc2    0xc2    0xc2
      1552    0x00    0xc3    0xc3    0xc2
      1556    0x01    0xc3    0xc3    0xc3
      1560    0x00    0xc4    0xc4    0xc3
      1564    0x01    0xc4    0xc4    0xc4
      1568    0x00    0xc5    0xc5    0xc4
      1572    0x01    0xc5    0xc5    0xc5
      1576    0x00    0xc6    0xc6    0xc5
      1580    0x01    0xc6    0xc6    0xc6
      1584    0x00    0xc7    0xc7    0xc6
      1588    0x01    0xc7    0xc7    0xc7
      1592    0x00    0xc8    0xc8    0xc7
      1596    0x01    0xc8    0xc8    0xc8
      1600    0x00    0xc9    0xc9    0xc8
      1604    0x01    0xc9    0xc9    0xc9
      1608    0x00    0xca    0xca    0xc9
      1612    0x01    0xca    0xca    0xca
      1616    0x00    0xcb    0xcb    0xca
      1620    0x01    0xcb    0xcb    0xcb
      1624    0x00    0xcc    0xcc    0xcb
      1628    0x01    0xcc    0xcc    0xcc
      1632    0x00    0xcd    0xcd    0xcc
      1636    0x01    0xcd    0xcd    0xcd
      1640    0x00    0xce    0xce    0xcd
      1644    0x01    0xce    0xce    0xce
      1648    0x00    0xcf    0xcf    0xce
      1652    0x01    0xcf    0xcf    0xcf
      1656    0x00    0xd0    0xd0    0xcf
      1660    0x01    0xd0    0xd0    0xd0
      1664    0x00    0xd1    0xd1    0xd0
      1668    0x01    0xd1    0xd1    0xd1
      1672    0x00    0xd2    0xd2    0xd1
      1676    0x01    0xd2    0xd2    0xd2
      1680    0x00    0xd3    0xd3    0xd2
      1684    0x01    0xd3    0xd3    0xd3
      1688    0x00    0xd4    0xd4    0xd3
      1692    0x01    0xd4    0xd4    0xd4
      1696    0x00    0xd5    0xd5    0xd4
      1700    0x01    0xd5    0xd5    0xd5
      1704    0x00    0xd6    0xd6    0xd5
      1708    0x01    0xd6    0xd6    0xd6
      1712    0x00    0xd7    0xd7    0xd6
      1716    0x01    0xd7    0xd7    0xd7
      1720    0x00    0xd8    0xd8    0xd7
      1724    0x01    0xd8    0xd8    0xd8
      1728    0x00    0xd9    0xd9    0xd8
      1732    0x01    0xd9    0xd9    0xd9
      1736    0x00    0xda    0xda    0xd9
      1740    0x01    0xda    0xda    0xda
      1744    0x00    0xdb    0xdb    0xda
      1748    0x01    0xdb    0xdb    0xdb
      1752    0x00    0xdc    0xdc    0xdb
      1756    0x01    0xdc    0xdc    0xdc
      1760    0x00    0xdd    0xdd    0xdc
      1764    0x01    0xdd    0xdd    0xdd
      1768    0x00    0xde    0xde    0xdd
      1772    0x01    0xde    0xde    0xde
      1776    0x00    0xdf    0xdf    0xde
      1780    0x01    0xdf    0xdf    0xdf
      1784    0x00    0xe0    0xe0    0xdf
      1788    0x01    0xe0    0xe0    0xe0
      1792    0x00    0xe1    0xe1    0xe0
      1796    0x01    0xe1    0xe1    0xe1
      1800    0x00    0xe2    0xe2    0xe1
      1804    0x01    0xe2    0xe2    0xe2
      1808    0x00    0xe3    0xe3    0xe2
      1812    0x01    0xe3    0xe3    0xe3
      1816    0x00    0xe4    0xe4    0xe3
      1820    0x01    0xe4    0xe4    0xe4
      1824    0x00    0xe5    0xe5    0xe4
      1828    0x01    0xe5    0xe5    0xe5
      1832    0x00    0xe6    0xe6    0xe5
      1836    0x01    0xe6    0xe6    0xe6
      1840    0x00    0xe7    0xe7    0xe6
      1844    0x01    0xe7    0xe7    0xe7
      1848    0x00    0xe8    0xe8    0xe7
      1852    0x01    0xe8    0xe8    0xe8
      1856    0x00    0xe9    0xe9    0xe8
      1860    0x01    0xe9    0xe9    0xe9
      1864    0x00    0xea    0xea    0xe9
      1868    0x01    0xea    0xea    0xea
      1872    0x00    0xeb    0xeb    0xea
      1876    0x01    0xeb    0xeb    0xeb
      1880    0x00    0xec    0xec    0xeb
      1884    0x01    0xec    0xec    0xec
      1888    0x00    0xed    0xed    0xec
      1892    0x01    0xed    0xed    0xed
      1896    0x00    0xee    0xee    0xed
      1900    0x01    0xee    0xee    0xee
      1904    0x00    0xef    0xef    0xee
      1908    0x01    0xef    0xef    0xef
      1912    0x00    0xf0    0xf0    0xef
      1916    0x01    0xf0    0xf0    0xf0
      1920    0x00    0xf1    0xf1    0xf0
      1924    0x01    0xf1    0xf1    0xf1
      1928    0x00    0xf2    0xf2    0xf1
      1932    0x01    0xf2    0xf2    0xf2
      1936    0x00    0xf3    0xf3    0xf2
      1940    0x01    0xf3    0xf3    0xf3
      1944    0x00    0xf4    0xf4    0xf3
      1948    0x01    0xf4    0xf4    0xf4
      1952    0x00    0xf5    0xf5    0xf4
      1956    0x01    0xf5    0xf5    0xf5
      1960    0x00    0xf6    0xf6    0xf5
      1964    0x01    0xf6    0xf6    0xf6
      1968    0x00    0xf7    0xf7    0xf6
      1972    0x01    0xf7    0xf7    0xf7
      1976    0x00    0xf8    0xf8    0xf7
      1980    0x01    0xf8    0xf8    0xf8
      1984    0x00    0xf9    0xf9    0xf8
      1988    0x01    0xf9    0xf9    0xf9
      1992    0x00    0xfa    0xfa    0xf9
      1996    0x01    0xfa    0xfa    0xfa
      2000    0x00    0xfb    0xfb    0xfa
      2004    0x01    0xfb    0xfb    0xfb
      2008    0x00    0xfc    0xfc    0xfb
      2012    0x01    0xfc    0xfc    0xfc
      2016    0x00    0xfd    0xfd    0xfc
      2020    0x01    0xfd    0xfd    0xfd
      2024    0x00    0xfe    0xfe    0xfd
      2028    0x01    0xfe    0xfe    0xfe
      2032    0x00    0xff    0xff    0xfe
      2036    0x01    0xff    0xff    0xff

